title,url,company,location,salary,posted,snippets
CDL Tanker Driver - OMT,https://www.indeed.com/rc/clk?jk=0a84845f36f63eae&fccid=e1de53dc44711eef&vjs=3,"Baker Commodities, Inc.","Grants Pass, OR 97526","",2 days ago,"Record information such as weight/volume, mileage, time and fuel consumption. / Receive a $7,500 signing bonus (paid in installments over the first 15 months)."
Retail Sales Associate Full Time,https://www.indeed.com/rc/clk?jk=60f7e842c976c017&fccid=b59989803df0669c&vjs=3,PetSmart,"Medford, OR 97504","",30+ days ago,"Our stores offer multiple shifts throughout the early morning, day, and evening hours. / You’ll welcome them (and their pets!) to the store, facilitate an easy…"
Oiler/Greaser,https://www.indeed.com/rc/clk?jk=c41a0ff9639a3343&fccid=1e1f3ff04fee41c2&vjs=3,Timber Products Company,"Medford, OR 97501","",30+ days ago,Must be able to lift up to 50 pounds at a time. / Responsible for lubricating machinery and performing preventative maintenance on equipment and tools.
Sales Advisor,https://www.indeed.com/rc/clk?jk=5606c3a0443c7452&fccid=b25343f021fb51d7&vjs=3,Mercedes-Benz of Medford,"Medford, OR 97504","",30+ days ago,"This position will be responsible for prospecting new customers through a variety of methods to include but not exclusive to: cold calls, referrals, social…"
8281 - Extra Help Court Security (Sheriff),https://www.indeed.com/rc/clk?jk=bedc1c4f2c3c407c&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$18 an hour,29 days ago,A DPSST Unarmed Private Security license must be obtained within 30 days of hire. / Court Security Officers are responsible for all enforcement and security at…
Senior Medical Office Representative,https://www.indeed.com/rc/clk?jk=b473f8d28d690067&fccid=84c8ed4c8205d753&vjs=3,Providence,"Medford, OR 97504","",30+ days ago,"The Spec-Clinical Operations is the point of contact for patients in the Anticoagulation Clinic, Pharmacotherapy Clinic, or other Pharmacy setting."
Team Member: Store 7103,https://www.indeed.com/rc/clk?jk=ba6cc7057772d460&fccid=8ee4a5aacc444b19&vjs=3,Jack in the Box,"Medford, OR 97501","",30+ days ago,"Responsible for delivering an exceptional guest experience by consistently providing excellent service, great tasting/quality food, and a clean restaurant…"
Wellness Buyer,https://www.indeed.com/rc/clk?jk=3f885104dc9cdc53&fccid=3b46c2f481b62c0d&vjs=3,Ashland Food Co–op,"Ashland, OR 97520",$16.50 an hour,10 days ago,"Our employees receive affordable healthcare, 3.5 weeks of paid time off in your first year for vacation and sick days, matching 401K plan, a 15% employee…"
Administrative Assistant; 1.0 FTE; District Office; Temporary,https://www.indeed.com/rc/clk?jk=dd2847d676e1ea2e&fccid=ec0e82198522845f&vjs=3,Ashland School District,"Ashland, OR 97520",$18.65 - $19.82 an hour,30+ days ago,"Performs general office duties including answering multi-line phones, greeting the public, typing, filing, sorting and handling incoming and outgoing mail."
Retail Merchandising & Inventory Supervisor,https://www.indeed.com/rc/clk?jk=b41fc3500a59943e&fccid=2c749d549b16ad16&vjs=3,Staples Stores,"Medford, OR 97501","","Posted
Just posted","Bonus plan, full-time hours, generous paid time off, career development program, and weekly pay. / Associate store discount and more perks (discounts on mobile…"
Police Support Technician,https://www.indeed.com/rc/clk?jk=90a31f1575a76565&fccid=c2703276ff1fd9e8&vjs=3,Josephine County,"Grants Pass, OR","$40,403 - $56,331 a year",30+ days ago,_From 25 through 60 months (2 to 5 years) = 120 hours/year_. / Must have the ability to accurately compute confinement time for persons incarcerated within the…
Electrician,https://www.indeed.com/rc/clk?jk=3c34c58e1e6f94a2&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"White City, OR 97503",$28.45 - $33.21 an hour,1 day ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
title,url,company,location,salary,posted,snippets
Electrician,https://www.indeed.com/rc/clk?jk=3c34c58e1e6f94a2&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration,"White City, OR 97503",$28.45 - $33.21 an hour,1 day ago,"Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent."
Substitute Custodian - Multiple Sites - Maintenance & Facilities,https://www.indeed.com/rc/clk?jk=39a4b51490ff0773&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",30+ days ago,"Computer Skills: General knowledge of computer usage and ability to use e-mail. / Summary: Performs routine cleaning of school buildings including floors, walls,…"
Associate Coder - Providence Medical Group-HYBRID,https://www.indeed.com/rc/clk?jk=060a4136a25a3e6f&fccid=84c8ed4c8205d753&vjs=3,Providence,"Central Point, OR 97502","",30+ days ago,A track record in organizing and planning with demonstrated ability to effectively manage time and achieve results in a fast-paced environment.
Instructional Assistant - 7 hours per day - Hillside Elementary,https://www.indeed.com/rc/clk?jk=aaf5f0ba2a3259d0&fccid=ca43c3c2d39ed6f0&vjs=3,Eagle Point SD 9 (Jackson County School District...,"Eagle Point, OR 97524",$16.70 - $23.76 an hour,10 days ago,Salary Range: $16.70 - $23.76 per hour depending upon verified previous full-time experience in a similar position.
Pharmacy Technicians,https://www.indeed.com/rc/clk?jk=90c9aa2c1f670b9d&fccid=a7baa2e2b6ad039f&vjs=3,Safeway,"Medford, OR 97504","",30+ days ago,"Health and welfare benefits for eligible employees (Medical, Dental, 401k and more!). / You have or are willing to obtain proper licenses (where required by local…"
Regional Sales/Dispatcher,https://www.indeed.com/rc/clk?jk=e2ce032e95cb1fa3&fccid=8c0b1057f2733166&vjs=3,"Combined Transport, Inc.","Central Point, OR 97502","$48,000 - $72,000 a year",9 days ago,"Provide professional courteous service on sales calls or email each and every time. / Communicating with customers, making outbound calls, talking with our…"
Production Supervisor,https://www.indeed.com/rc/clk?jk=44c13aff5eab5a6a&fccid=ebf2dcf78a24a313&vjs=3,Linde plc,"White City, OR 97503","",25 days ago,Maintain stocking levels of finished product and raw materials to ensure production requirements and lead times are achieved.
Pharmacy Technicians,https://www.indeed.com/rc/clk?jk=58f988b24509405f&fccid=f37af6e0eae53880&vjs=3,Albertsons,"Central Point, OR 97502","",30+ days ago,"Health and welfare benefits for eligible employees (Medical, Dental, 401k and more!). / You have or are willing to obtain proper licenses (where required by local…"
Management Trainee-Medford,https://www.indeed.com/rc/clk?jk=140866d15aa2e5ce&fccid=97de6e3bf84e8d35&vjs=3,Enterprise Holdings,"Medford, OR","$53,724 a year","Employer
Active 12 days ago",Valid driver's license with no more than 2 moving violations and/or at-fault accidents on driving record in the last 3 years. / Must be at least 18 years old .
Patient Access Rep 1 Outpatient (Patient Registration),https://www.indeed.com/rc/clk?jk=3d013cc3663353a6&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Ashland, OR 97520","",10 days ago,Additional Position Details: FTE: 0.900000 | Full Time | Day and Swing Shifts. / The Patient Access Representative (PAR) provides customer-service coverage in…
Spreader Operator,https://www.indeed.com/rc/clk?jk=4c8f4d30c7be9c16&fccid=1e1f3ff04fee41c2&vjs=3,Timber Products Company,"Grants Pass, OR 97526","",30+ days ago,Follows plywood and veneer stacking guidelines at all times. / Candidates selected for Spreader Operator have an opportunity to increase to $26.85 plus regular…
Crusher Plant Maintenance/Millwright SWING SHIFT,https://www.indeed.com/rc/clk?jk=34571ac37c1dda50&fccid=4d8291ab0f3820fc&vjs=3,Knife River - Southern Oregon Division,"Central Point, OR",$28.24 - $32.87 an hour,5 days ago,Valid driver's license with a clean driving record required. / Full-time employees are eligible for the following benefits: / Must comply with all MSHA regulations.
8128 - Airport Operations and Maintenance Specialist (Airport),https://www.indeed.com/rc/clk?jk=d9d8a3b5ea80121c&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$26.10 - $34.91 an hour,30+ days ago,Requires possession of a valid driver’s license and an acceptable driving record. / Obtain a movement area driver’s license within the first six months of…
Full Time Teller - South Riverside,https://www.indeed.com/rc/clk?jk=bc5e1b09632522f0&fccid=78bbcd26e39621f5&vjs=3,Wells Fargo,"Medford, OR 97501","",29 days ago,"Support customer engagement by processing teller transactions, sharing digital solutions, and making appropriate introductions to bankers."
Underground Equipment Operator,https://www.indeed.com/rc/clk?jk=644a4ebc08334d6e&fccid=1a9520f5a91761ef&vjs=3,Javelin Utility Services Inc,"Grants Pass, OR 97527",$25 - $32 an hour,21 days ago,"Job Type: Full-time, 40 hours per week, non-exempt. / Benefits: Medical, Dental, Vision, 401(K), and PTO. / Underground Equipment Operators will operate machinery …"
title,url,company,location,salary,posted,snippets
8300 - Internal Auditor/ Senior Internal Auditor (County Administration),https://www.indeed.com/rc/clk?jk=2ec23ad799b24213&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR","$67,600 - $100,402 a year",17 days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
Bus Driver,https://www.indeed.com/rc/clk?jk=c8c8892c4ef849bf&fccid=586eaa126c8424a0&vjs=3,"Oregon Child Development Coalition, Inc.","Ashland, OR 97520",$19.26 - $22.27 an hour,30+ days ago,"Transports program children and parents to center’s activities, to and from home in a safe and enjoyable manner. / Current Oregon School Bus Driver Certificate."
Water Quality Senior Environmental Engineer (Environmental Engineer 3 / Environmental Engineer 2 - Underfill),https://www.indeed.com/rc/clk?jk=54b5baf0d8936f26&fccid=c2aa7a4ff7414b1c&vjs=3,Department of Environmental Quality,"Hybrid remote in Medford, OR","$6,225 - $9,570 a month",10 days ago,The Oregon Department of Environmental Quality has a full-time opportunity for a Water Quality Senior Environmental Engineer (Environmental Engineer 3).
"Project Manager, Corporate Brands & Comms",https://www.indeed.com/rc/clk?jk=501b9be17b4b5b37&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97501","$54,000 - $78,000 a year",7 days ago,"Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / Deliver projects on-time, within scope, and within…"
Cytotechnologist ARRMC,https://www.indeed.com/rc/clk?jk=4c1b1bb4dff249c9&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504",$55.19 an hour,30+ days ago,Most of the Cytologists' time is spent examining non-gynecologic specimens - with the emphasis is placed on quality and not quantity.
Assistive Technology Specialist (Rehabilitation Instructor for the Blind),https://www.indeed.com/rc/clk?jk=f91241d010118d87&fccid=808cb64a52dff73b&vjs=3,Commission for the Blind,"Medford, OR","$3,885 - $5,936 a month",2 days ago,"Tech support may include one-on-one, phone, and email communication. / The Assistive Technology Specialist reports to the Workforce Innovation Manager."
Deputy Treasurer III,https://www.indeed.com/rc/clk?jk=f3907a500ec6205e&fccid=f82de2b41919b7f9&vjs=3,Josephine County,"Grants Pass, OR 97526","$40,664 - $46,488 a year",24 days ago,"Processes daily electronic banking transactions, reconciliations, and reports. / Maintain appropriate internal control procedures over cash transactions and…"
Grounds Maintenance Worker 2,https://www.indeed.com/rc/clk?jk=53b360ad9c734299&fccid=b2ea72931b447148&vjs=3,Southern Oregon University,"Ashland, OR 97520",$18.11 an hour,30+ days ago,Must have a valid drivers license and meet requirements to drive state vehicles. / Must have a valid drivers license and meet requirements to drive state vehicles…
"Seafood Supervisor Store 3508 Medford, OR",https://www.indeed.com/rc/clk?jk=2e7e5f3a529a67bf&fccid=f37af6e0eae53880&vjs=3,Albertsons,"Medford, OR 97504","",30+ days ago,Answers and responds to incoming calls appropriately. / Champions Company and Division customer service programs to meet or exceed Division customer service goals…
"Department Manager Starbucks Store 3595 Central Point, OR",https://www.indeed.com/rc/clk?jk=09bc391d1830719e&fccid=f37af6e0eae53880&vjs=3,Albertsons,"Central Point, OR 97502","",30+ days ago,Assists customers by answering questions on product specification and taking and filling special orders. / Answers and responds to incoming calls appropriately.
Campus Monitor III - Oakdale Middle School,https://www.indeed.com/rc/clk?jk=18e14855dfe8f42d&fccid=e4fd80e177eb9d04&vjs=3,"Medford School District, 549C","Medford, OR 97501","",11 days ago,"Certificates, Licenses, Registrations: Certificates as determined by the District, including valid CPR/First Aid card."
Boat Painter,https://www.indeed.com/rc/clk?jk=b280e1605b7f0167&fccid=3dad3dece6186a65&vjs=3,Katanacraft,"Grants Pass, OR","",30+ days ago,"Mandatory overtime may be required on an as-needed basis to meet production goals. / Competitive starting wages, Health Plan, Vacation and Holiday Pay."
"Sales Associate / Jewelry Consultant - Zales - Rogue Valley Mall - Medford, OR",https://www.indeed.com/rc/clk?jk=2f7bc84aabf9494a&fccid=4a1076c699e1befc&vjs=3,Signet Jewelers,"Medford, OR","",30+ days ago,"In addition, you will: • Engage customers in conversation to understand their needs and desires • Ability to present merchandise and share detailed information…"
"Supervisor, Coding",https://www.indeed.com/rc/clk?jk=e5f6a3ca21b0ab97&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Remote in Medford, OR 97501","",25 days ago,"Comprehensive Total Rewards package including medical, dental, vision, and wellness; retirement plan with up to a 6% employer contribution; and a generous paid…"
Customer Service Specialist - Patient Financial Services,https://www.indeed.com/rc/clk?jk=c818c0f4354c64d1&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97501","",30+ days ago,The Customer Service Specialist answers all incoming calls and emails to Patient Financial Services and assists patients and/or insurance companies with…
title,url,company,location,salary,posted,snippets
Direct Support Professional,https://www.indeed.com/rc/clk?jk=23ad67c2b7aa1534&fccid=b82503c63b77c6e0&vjs=3,Ashland Supportive Housing,"Ashland, OR 97520","",30+ days ago,"All full time (30 hour+) staff with a regular shift receive fully paid medical, dental, vision, and naturopathic insurance."
Assistant Professor of Education,https://www.indeed.com/rc/clk?jk=2776a12beee294bc&fccid=b2ea72931b447148&vjs=3,Southern Oregon University,"Ashland, OR 97520","",30+ days ago,"The School of Education, Leadership, Health, & Humanities at Southern Oregon University (SOU) is seeking candidates for a full-time, nine month, tenure-track,…"
Secretary II; AMS; 1.0 FTE; Probationary,https://www.indeed.com/rc/clk?jk=8f7245bc04d7d0df&fccid=ec0e82198522845f&vjs=3,Ashland School District,"Ashland, OR 97520",$16.79 - $17.82 an hour,9 days ago,"Performs general office duties including answering multi-line phones, greeting the public, typing, filing, sorting and handling incoming and outgoing mail."
Restaurant Team Member - Crew (3195 - South Medford),https://www.indeed.com/rc/clk?jk=889a3d2a30612914&fccid=8e9ae7de18dcd13e&vjs=3,Chipotle,"Medford, OR 97501","",12 days ago,"Full and part-time opportunities. / Tuition assistance (100% coverage for select degrees or up to $5,250/year). / Free food (yes, really FREE)."
Lateral Dispatcher (9-1-1),https://www.indeed.com/rc/clk?jk=db1a141ddd305da7&fccid=625146d1db53d346&vjs=3,City of Grants Pass,"Grants Pass, OR 97526","$52,042 - $70,928 a year","Employer
Active 2 days ago",Incumbents are responsible for answering emergency 9-1-1 and non-emergency telephone calls and directing appropriate and timely resources.
"Grocery Manager Store 1643 Medford, OR",https://www.indeed.com/rc/clk?jk=b4a089f91fb60aee&fccid=a7baa2e2b6ad039f&vjs=3,Safeway,"Medford, OR 97501","",30+ days ago,"Ability to stand and walk for long periods of time. / Ability to work at different times of the day, weekends and holidays and with little or no supervision."
Front End Assistant - Cashier,https://www.indeed.com/rc/clk?jk=3317943a658b6adb&fccid=3b46c2f481b62c0d&vjs=3,Ashland Food Co–op,"Ashland, OR 97520",From $15.50 an hour,"Employer
Active 19 days ago","Our employees receive *affordable healthcare, 3.5 weeks of paid time off in your first year for vacation and sick days, matching 401k plan, a 15% employee…"
Deputy - Patrol,https://www.indeed.com/rc/clk?jk=4784d48f32e9a16a&fccid=c2703276ff1fd9e8&vjs=3,Josephine County,"Grants Pass, OR","$49,123 - $66,454 a year","Employer
Active 18 days ago",Must have a valid Oregon driver's license. / A deputy shall assist and work with other organizations in time of sudden emergency when such assistance is needed.
Assistant Planner (Land Use),https://www.indeed.com/rc/clk?jk=5df59a7b66717dfa&fccid=87c3b6649f4bee66&vjs=3,City of Grants Pass,"Grants Pass, OR 97526","$52,614 - $66,574 a year",1 day ago,As a member of the team as an Assistant Planner you will be responsible for initial customer service contact and processing of construction permits and routine…
(A) PCA Trainee-2,https://www.indeed.com/rc/clk?jk=943b40b16966e51f&fccid=23db8b01ff3384c2&vjs=3,KeyBank,"Ashland, OR 97520","",30+ days ago,Engage licensed and non-licensed Branch personnel to identify investment referral opportunities from new clients and the existing bank client base.
Student Worker (Custodian),https://www.indeed.com/rc/clk?jk=6fdd10ce8bc3acf9&fccid=4bd9f8da5d73c588&vjs=3,Eagle Point School District 9,"Eagle Point, OR 97524","",30+ days ago,Open to Eagle Point High School Students only.
Deputy - Corrections (Female Specific),https://www.indeed.com/rc/clk?jk=2d3fec3f70158b16&fccid=f82de2b41919b7f9&vjs=3,Josephine County,"Grants Pass, OR 97526","$49,123 - $66,454 a year",4 days ago,"Must have a valid Oregon driver's license; safe driving record. / Ensures that incarcerated persons needs are met through personal hygiene, medical and mental…"
Propane Yard Technician - Grants Pass,https://www.indeed.com/rc/clk?jk=eaad3c4a5975225f&fccid=e017b77f9657ef30&vjs=3,Carson,"Grants Pass, OR 97526","",30 days ago,Carson is looking for a full-time Propane Yard Technician to help maintain our facilities out of the Grants Pass branch. / Will lift heavy objects up to 75 lbs.
Automotive Technician,https://www.indeed.com/rc/clk?jk=f2544972bb469cfb&fccid=d93662d2d73bf2f4&vjs=3,Medford Nissan,"Medford, OR 97504",$20 - $28 an hour,"Employer
Active 4 days ago","The ideal candidate has a steady work history, at least 2 years of automotive technician experience, and a desire to have a career in automotive repair."
Deputy - Corrections,https://www.indeed.com/rc/clk?jk=3695c0a244ff84a0&fccid=c2703276ff1fd9e8&vjs=3,Josephine County,"Grants Pass, OR","$49,123 - $66,454 a year","Employer
Active 18 days ago","Must have a valid Oregon driver's license; safe driving record. / Ensures that incarcerated persons needs are met through personal hygiene, medical and mental…"
title,url,company,location,salary,posted,snippets
Fitness and Nutrition Advisor - Talent,https://www.indeed.com/rc/clk?jk=781065dc02d0ef19&fccid=55874de7f14b5b9e&vjs=3,One Peak Medical,"Talent, OR 97540","",1 day ago,"VISION | A healthcare system that believes in, accepts, and values all evidence-informed practices and identifies the relationships between health, mind, body,…"
SVP & Chief Human Resources Officer,https://www.indeed.com/rc/clk?jk=dc2a37f75a8d0414&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97501","",30+ days ago,"The SVP/CHRO will identify a leadership structure, assess talent gaps and invest in the development of their team."
Bus Driver for 2023-2024 School Year,https://www.indeed.com/rc/clk?jk=3ca33578ecc98180&fccid=ca43c3c2d39ed6f0&vjs=3,Eagle Point SD 9 (Jackson County School District...,"Eagle Point, OR 97524",$17.60 - $25.02 an hour,30+ days ago,"Bus Route Drivers that are properly licensed bus drivers and enter into a permanent bargaining position as a bus driver, shall receive a $500 signing stipend in…"
Tire Technician - Medford #31,https://www.indeed.com/rc/clk?jk=15dac27f3b460112&fccid=063c4bafb9162d77&vjs=3,Les Schwab,"Medford, OR","",30+ days ago,Valid driver's license; excellent customer service skills and the ability to work in a rapid pace environment; frequent lifting of weight between 35-75 pounds;…
8123- Developmental Disabilities Case Manager (HHS),https://www.indeed.com/rc/clk?jk=61234c567cf80407&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$23.75 - $31.75 an hour,30+ days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
Supervisory Land Surveyor,https://www.indeed.com/rc/clk?jk=f270726444bf4a78&fccid=565f7fb6a3636439&vjs=3,US Bureau of Land Management,"Medford, OR","$82,830 - $107,680 a year",24 days ago,You may be required to obtain and maintain a valid state driver's license. / Such study may have been performed on a full-time or part-time basis.
Electrician,https://www.indeed.com/rc/clk?jk=d3bbb7e6d994e28d&fccid=b93dccc2a552a61b&vjs=3,MasterBrand Cabinets LLC,"Grants Pass, OR 97526","",25 days ago,"The purpose of this position is to provide electrician services to the facility. / This includes building wiring, installation of new circuits, installation of…"
Certified Nursing Assistant 1 ARRMC (General Medicine),https://www.indeed.com/rc/clk?jk=f91bd2930c3c3dc8&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504",From $19.27 an hour,6 days ago,"Generous time off package including 8 holidays that supports a healthy work/life balance. / An avid multitasker who can keep all the plates spinning, juggle…"
Naturopathic Practitioner and Educator,https://www.indeed.com/rc/clk?jk=e506aac5812b48aa&fccid=55874de7f14b5b9e&vjs=3,One Peak Medical,"Ashland, OR 97520","",1 day ago,"Valid unrestricted license or certification to practice as a Naturopath, required. / This includes conducting consultations, educational seminars, and creating…"
Automotive Technician,https://www.indeed.com/rc/clk?jk=ccbfc164a7cf255f&fccid=fcf465e707df52fb&vjs=3,UNITED PARCEL SERVICE,"Medford, OR 97501","",30+ days ago,Possess a full complement of personal hand tools and ability to furnish hand tools up to 1/2” drive. / Basic computer knowledge to assist in parts research & time…
Districtwide- School Psychologist- Part-Time or Full-Time Available- 2 Positions Available- 2023-2024 School Year,https://www.indeed.com/rc/clk?jk=301198533b97dcf8&fccid=e4d53c85d5abcb50&vjs=3,GRANTS PASS SD 7,"Grants Pass, OR 97526","$50,277 - $88,761 a year",30+ days ago,A valid Oregon License is required. / Proof of full vaccination OR OHA Exception Forms are a pre-employment requirement.
Field Technician,https://www.indeed.com/rc/clk?jk=2a38e1ba4d769cc1&fccid=c2d1b0769a534b4d&vjs=3,Spectrum,"Medford, OR 97504","",8 days ago,"Valid Driver’s license with satisfactory driving record within company standards required. / Skills: Communication, professionalism, time management, organization…"
CNA 2 - Day Surgery 1FTE Days,https://www.indeed.com/rc/clk?jk=f06d105a63d26025&fccid=84c8ed4c8205d753&vjs=3,Providence,"Medford, OR 97504","",7 days ago,"CNA 2 coursework: Grandfathered to CNA 2 per OSBN requirements. / The CNA 2/HUC is a key person within the decentralized nursing unit, who provides overall…"
Districtwide Custodian- Swing Shift– Utility- 8 Hours Per Day,https://www.indeed.com/rc/clk?jk=03cfb1608d49cd32&fccid=e4d53c85d5abcb50&vjs=3,GRANTS PASS SD 7,"Grants Pass, OR 97526",$16.22 - $22.76 an hour,30+ days ago,8 hours per day- 12 month. / Knowledge and experience in grounds keeping. / Equivalent to completion of the twelfth grade.
Director of Outreach and Engagement Programs,https://www.indeed.com/rc/clk?jk=b0e85ebc34cd2e02&fccid=b2ea72931b447148&vjs=3,Southern Oregon University,"Ashland, OR 97520","$76,530 a year",14 days ago,Excellent organizational and time management skills. / Demonstrated ability to work independently with minimal supervision and manage competing time demands;
title,url,company,location,salary,posted,snippets
"Billing Assistant, Settlements",https://www.indeed.com/rc/clk?jk=e32e9adb9ae606e6&fccid=55a17e01360fc1e2&vjs=3,DSV,"Medford, OR 97504",$15 an hour,16 days ago,Uses basic business math skills to compute record and verify financial transactions and maintains records. / Applies industry terms and concepts.
Facility Operation Specialist 2 (Maintenance Coordinator),https://www.indeed.com/rc/clk?jk=6410b809ce0eb43d&fccid=fce661eebd777011&vjs=3,Department of Fish and Wildlife,"Trail, OR","$4,465 - $6,851 a month",2 days ago,"If the selected applicant does not possess a CDL, they are required to obtain this license within six months of hire and must retain it as a condition of…"
8307 - QMHP I - Crisis Therapist (Health & Human Services),https://www.indeed.com/rc/clk?jk=805a2c9914625d1b&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$28.71 - $38.39 an hour,9 days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
Epic Trainer,https://www.indeed.com/rc/clk?jk=a90edcdc8c4514c1&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97501","",22 days ago,"If required, must obtain Oregon driver's license within 30 days of moving to Oregon (if applicable). / Possession of a valid Driver's License with proof of a safe…"
Customer Experience Manager,https://www.indeed.com/rc/clk?jk=9e45cdc45dca7b4c&fccid=7bec89cb1b3b9073&vjs=3,"Michaels Stores, Inc.","Medford, OR 97504","",30+ days ago,"Ability to remain standing for long periods of time. / In select stores that do not have a Framing Manager only, responsibilities also include: leading the…"
Housecleaner,https://www.indeed.com/rc/clk?jk=04f9436c9c5f78f3&fccid=67e956ea688dfe12&vjs=3,Graceworks Housecleaning,"Medford, OR",From $15.50 an hour,30+ days ago,GraceWorks Housecleaning is accepting applications for full time Professional House Cleaner positions! / Able to pass a full background check.
Patient Coordinator,https://www.indeed.com/rc/clk?jk=56983a460c2f4ca3&fccid=7835e3e166f16b31&vjs=3,Advantage Dental,"Medford, OR",$19 - $23 an hour,30+ days ago,"Minimum of two (2) years’ experience in a dental, medical, healthcare, or customer service environment. / Paid Time Off and 9 Paid Holidays."
Maintenance-Semi Skilled (2 positions) @ Three Rivers School District,https://www.indeed.com/rc/clk?jk=f75afbc71ccb8d1c&fccid=f5792938482be9e2&vjs=3,THREE RIVERS/JOSEPHINE COUNTY SD,"Grants Pass, OR 97527","",30+ days ago,"Checks e-mail for staff requests. / Employees in qualifying positions will receive a comprehensive benefit package that includes medical, dental and vision and…"
Food Service Worker ATRMC,https://www.indeed.com/rc/clk?jk=2e2f606fbf38967e&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Grants Pass, OR 97527","",30+ days ago,What We Offer for full-time and part-time positions. / Oregon Food Handler Card issued by an agency approved by Oregon Department of Health or a valid food…
M&A & Real Estate Paralegal,https://www.indeed.com/rc/clk?jk=97963b354d191fd8&fccid=f75c0b3e575408cf&vjs=3,"Lithia Motors, Inc.","Medford, OR 97501","$75,000 - $90,000 a year",30+ days ago,Acceptable driving record and a valid driver's license in your state of residence necessary for select roles. / This position will assist the day-to-day functions…
Supervisor I Particle Board/Lab Tech - multiple openings,https://www.indeed.com/rc/clk?jk=ac641a9a50132b84&fccid=1e1f3ff04fee41c2&vjs=3,Timber Products Company,"Medford, OR 97501","",30+ days ago,"This position provides coverage for both shift Quality Assurance and front line supervision. / Progression leads to a Supervisor II position, after the candidate…"
Maintenance & Manufacturing Technician,https://www.indeed.com/rc/clk?jk=166865192675f295&fccid=17ea0994f1a87049&vjs=3,Erickson Incorporated,"Central Point, OR 97502","",11 days ago,"High School Diploma or equivalency, Valid Driver license. / Uses all forms of communication effectively and appropriately (includes email, text, IM)."
CNA & Unit Secretary ARRMC (NICU),https://www.indeed.com/rc/clk?jk=49f12b8fd2a94642&fccid=c183e377c8e301c6&vjs=3,Asante Health System,"Medford, OR 97504","",17 days ago,"The CNA/Unit Secretary carries out the clerical and receptionist duties of the nursing units and is responsible for facilitating the flow of the nursing units,…"
Information Technology Consultant 2,https://www.indeed.com/rc/clk?jk=cc7e3a0d9c9324a9&fccid=b2ea72931b447148&vjs=3,Southern Oregon University,"Ashland, OR 97520",$20.28 - $37.59 an hour,30+ days ago,"Excellent organizational and time management skills. / The RSA 1) provides consultative support and service to students, faculty, and staff to ensure problem…"
"Journeyman Station Meter & Relay Technician (Local 659) - Medford, Oregon",https://www.indeed.com/rc/clk?jk=bc464f9d9a751bcb&fccid=032ea88f092cd8dd&vjs=3,PacifiCorp,"Medford, OR 97501","",30+ days ago,"IBEW Local 659 Bid Board. / A Journeyman Station Meter and Relay Technician is a Journeyman qualified to install, maintain, adjust, test and repair all substation…"
title,url,company,location,salary,posted,snippets
8309 - QMHA I - Crisis Associate (Health & Human Services),https://www.indeed.com/rc/clk?jk=9f6ee6cdde0b5e2b&fccid=dccdf375f38960c6&vjs=3,"Jackson County, OR","Medford, OR",$20.59 - $27.53 an hour,9 days ago,"Requires possession of a valid driver’s license and an acceptable driving record. / Regular part-time employees may enroll in the full plan, with a prorated…"
Pharmacy Technician,https://www.indeed.com/rc/clk?jk=4bdea42845b1a251&fccid=be3b11aa573faee7&vjs=3,CVS Health,"Medford, OR",$16 - $21 an hour,30+ days ago,"Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies. / Must be at least 16 years of age."
Maintenance Superintendent,https://www.indeed.com/rc/clk?jk=58b3b3b269e84968&fccid=1e1f3ff04fee41c2&vjs=3,Timber Products Company,"Medford, OR 97501","",30+ days ago,"Responsible for completing projects on time and within budget. / Also, ensure the all fire systems are fully functional at all times."
